implicit,implied,agreement score,Remarks,Reviwed By
@USER Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing,I am treated as a toy.,2,Abuse in context missing,Annotator-1
@USER @USER Haha true.  Back to your original point... if we all just fucking drive everything would be fine!,You do not have any real argument.,5,,Annotator-1
"Probably indoctrinating"". #MAGA URL",This amounts to brainwashing.,4,Not enough context in the post,Annotator-1
"@USER The perpetrator is responsible for his own actions but you are ignoring that Maxine Waters &amp; others are inciting violence.  Do consider she said that they should not be able to eat, shop or do anything in peace""... how would one survive without being able to trade?""",Politicans like Maxine Waters indirectly incite violence.,5,,Annotator-1
"#Barbara Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU  ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' 35 Years Ago. PROVE ME WRONG URL",Liberals are using sexual assulat as an excuse without any ecvidence.,5,,Annotator-1
@USER       Thank you for your fortitude and perseverance. Please give McConnell a kick in the butt from some of us conservatives.,You are couragous and MacConnell deserves to be ill-treated.,4,Better abusive word in context to be used,Annotator-1
Bias Blockers: The New Glasses Made for #MAGA Racists and Homophobes — WATCH URL URL,MAGA supports are racists and homophic who need to see the world for the better.,5,,Annotator-1
@USER @USER @USER There has to be a way where conservatives who look the other way and approve oF sexual assault and victim shame to endorse their political agenda and hatred are held accountable. Why don’t you sign your name so you can be held accountable for your lies,Conservatives who turn a blind eye to sexual assaults to support their political agenda should be punished.,4,Liar in conext missing,Annotator-1
#GeoffreyOwens niggas don’t really understand...levels to career pursuits,Niggas are uneducated with no career aspirations. ,5,,Annotator-1
@USER Liberals like you WILL never convince us to become lazy entitled victims. But keep trying. I just feel sorry for your son. Having to be raised by someone who will only impart him with the mindset of self-hate and victim-hood.,Liberals are haters and play the victim.,5,,Annotator-1
"@USER JUST LIKE A PLANTATION, White Liberals have Black people under their thumb and any Black person that tries to get out from under their Old Order"" is considered one of them uppity Negroes, too smart fer his britches. They get all the other good lil Negroes to teach em a lesson.""",White liberals shield behind black people.,3,Rather white people use Black people as slave/propoerty in context,Annotator-1
@USER Serial rape didn't seem to be a problem for liberals with Bill Clinton and Hillary who enabled him?  Go figure - can you say hypocrisy?,Liberals have supported and shelded serial rapists.,5,,Annotator-1
"WHY ... it's their trail of corruption ... and they have so much of it going on, and at all times, they don't want any slips"" ... don't want American people to know who they really are AND WHAT THEY'VE BEEN UP TO ... #MAGA URL","Some people are so corrput, they do not want the truth to be out at any cost.",5,,Annotator-1
@USER That's because you liberals have no morals anything goes with your kind drugs sex child endangerment,Liberals are immoral and characterless.,4,Better abusive word in context to be used,Annotator-1
@USER She never planned to testify. It was all an act - one that fell flat very quickly.  Liberals will never learn.   We know their tactics. We can accurately predict their actions &amp; responses. We also know how to think &amp; do research. That's why they hate us. They can't control us.,"Liberals do not think and act, they are always planning and plotting.",3,Better abusive word in context to be used,Annotator-1
@USER @USER How many gun control measures did Republicans shoot down in the House or Senate during Obama’s terms?  (Hint: it’s in the triple digits.) Bordering states with weak gun laws (WI &amp; IN) make it easy for gangs to get guns into Illinois.,Republicans do not support gun ban.,5,,Annotator-1
How does this #MAGA...?!? Is this our tax dollars at work...?!? URL,MAGA campaign is a wastage of tax money.,4,Better abusive word corruption in context to be used,Annotator-1
(2020 election season)  Trump: my dick is the most magnificent dick. Just tremendous.   Leftists: prove it you Russian puppet!  Trump: *whips dick out in fit of senility*  Conservatives: *vote Trump to victory*,Trump is a stupid and old person. ,2,dic* is missing in context,Annotator-1
@USER And this traitor thinks he is?,He thinks highly of himself.,2,Captured explicit target entity but fails to note broader abuse (traitor or anti-national) in context,Annotator-1
@USER @USER @USER @USER is anti-gop. He is part of the “Trump Party” and he is hoping for a pardon for ripping off hard working Americans.,Trump and his supporters are wasting public money.,4,Better abusive word in context to be used,Annotator-1
,,,,
,,,,
,mean,4.133333333,,
,std,1.136641554,,
