implicit,implied,Annotator
"@USER @USER @USER @USER This is great! Mark The Great One"" Levin and Candace ""The Great"" Owens together! This team is unbeatable! They just sent liberals into a frenzy again! A whole block of liberal voters just had their heads explode! And...sadly, Alyssa Milano just wet her pants again! Great team!""",Comments by three conservatives is enough to tear down a group of liberal voters.,Annotator-2
@USER @USER @USER @USER I wasn't proposing scare tactics. I really meant what I said. Trump can easily pull the good maga Republicans and can easily steal enough votes from GOP Dem and independents and will bring fresh breath to our rotten politics. Think about it.,Current politics is broken and stale and can be fixed by Trump coming to power.,Annotator-2
@USER @USER @USER @USER Only a liberal would support a liberal that spent a MILLION to get liberals elected to office. #LibFAIL! URL,Liberals go to unreasonable length to support their cause.,Annotator-2
@USER It’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘Liberals think all criminals should be free.’  It reveals a pretty brutalist and impenetrable mind.,Liberals have a brutalist and impenetrable mind.,Annotator-2
@USER Why? Why are liberals so trashy?,Liberals are inferor.,Annotator-2
@USER Yes I saw this and I will say tapper kept basket her and she kept coming back with stupid answers And he finally gave up I don’t think he is a big fan of her policies he’s not that stupid please,She is stupid and does not know how to answer for herself.,Annotator-2
10kids from different women from this American jobless men? Nigerian men you are the bomb!!!,Jobless black men keep having lots of kids.,Annotator-2
@USER We shouldn’t be surprised. These same pigs worked with neonazis to unmask antifa protestors. And the local coverage by shit journos like @USER didn’t cover that AT ALL. We had to rely on @USER for investigative coverage URL,Media coverage is biased against negative anti-fascist content.,Annotator-2
"@USER @USER I'm sure he doesn't call his gated community's private security firm Bull Connors"" though. It's funny: Now liberals LOVE privatization of police!""",Liberals want to privatise security.,Annotator-2
@USER @USER Wonder how many children he molested,He is a pedophile.,Annotator-2
@USER @USER Oh you are in England?  Your views on gun control stopped mattering in 1776.,Your opinions are old and do not matter.,Annotator-2
@USER @USER @USER @USER @USER @USER This is the ANTIFA party &amp; all of a sudden they expect us to believe they care about anyone besides themselves. Nope.,An anti-facism party does not care about others. ,Annotator-2
@USER @USER Wonder if he apologized to Diamond and Silk for calling them a “minstrel show?”  He should have been fired but there he is making faces.,He does not deserve his job.,Annotator-2
"@USER @USER When I turned the speech on it sounded to me like Liberals becoming another nasty party"" with his personal attacks on various individuals.""",Liberals have been incompetent over time.,Annotator-2
.@USER As my elected MP could you please explain why @USER is still promoting ideas that the EU have already rejected? We've 6 months to go and nothing appears to be moving onward. @USER are like the blind leading the blind #brexitshambles #BrexitMeansBrexit URL,Old rejected ideas are being presented to mislead people.,Annotator-2
(2020 election season)  Trump: my dick is the most magnificent dick. Just tremendous.   Leftists: prove it you Russian puppet!  Trump: *whips dick out in fit of senility*  Conservatives: *vote Trump to victory*,Trump is a stupid and old person. ,Annotator-2
@USER @USER @USER @USER He’s dead. So you are a necrophiliac as well? Good to know...you must suck at chess never mind 3 dimensional chess...you can’t even think one move ahead let alone many...Change your twitter handle to DumbAF not even ish🙄🙄🙄,You are disgusting and dumb.,Annotator-2
@USER I don't know anything about the kkk although I believe the democrats fund them like they always did.  I think the Dems main terror group these days is antifa.,Democrats used to support KKK and now Antifas.,Annotator-2
@USER Does anyone care what that dirtbag says???,No one cares for their trash talk.,Annotator-2
@USER Hopefully your obesity catches up with you by then,You will become obese and soon die.,Annotator-2
#fordnation #onpoli #Conservatives #Conservative #onpc  Just because you can doesn't mean you should. Great power comes with great responsibility. By invoking art. 33 and overriding our judicial processes you're overriding our democracy.  URL,Conservatives are interfering with judicial processes to forward their cause.,Annotator-2
@USER       Thank you for your fortitude and perseverance. Please give McConnell a kick in the butt from some of us conservatives.,You are couragous and MacConnell deserves to be ill-treated.,Annotator-2
@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing ass... COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This 'shit' never ends... Ooops...,Sexual assult accusations are a neverending mess.,Annotator-2
@USER Even if the devil did make every single one of those priests rape children... Why does the pope refuse to condemn it? Why didn't he remove from leadership the rapist brought to him?,Some priests are rapist and should be punished.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER @USER @USER I like that they aren't mincing around with her. I do not understand why she is denying doing porn.,She is in denial.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So absurd.  The left has been fielding violent feminists and communists in the form of Antifa to attack the very peaceful transition of power for more than two years.    I wonder if it will ever occur to you that you are the bad guys?  I doubt you have the moral fortitude.,Lefts are not as peaceful and moral as they claim to be.,Annotator-2
"@USER Good liberals will allow a rapist"" to continue serving on a federal district court while his victim continues to suffer?    But...you said....you said....""",Liberals are hypocritical towards rape victims.,Annotator-2
@USER What exactly is it about Willy that anyone with half a brain would consider conservative?   The guy is literally a poster child for Liberals,Intelligent people will not say that Willy is a conservative. He is as liberal as one can be. ,Annotator-2
@USER i just gave Beto $100 and you all should as well.  Trump called Ted's wife ugly and he is still licking his boots for help with reelection.,Ted is a bootlicker and does not have any morals.,Annotator-2
@USER @USER Liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence.  They imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them.,Liberals are cowards and fanciful.,Annotator-2
@USER @USER Without question Professor Ford is troubled that's being polite. Half the women in the world (probably more) have been groped at one time or an other  and don't hold on to it for 40 years. This is obviously a political ploy to deter scotus confirmation. @USER #MAGA,The woman is making up her assault for political agenda.,Annotator-2
@USER So... Did Angela hook up with a younger guy so she has someone to wipe her butt when she is 75?,Angela is dating a young guy out of convenience.,Annotator-2
@USER Sam was singing and they DiDNT tell her to stop singing and she thanked them!! Unbelievable!!! Who the hell is she talking to?! It's bad enough when she is talking to one of the houseguest !! But to keep talking to herself! Wonder what her family think about her going nuts!,She is going mad and it shows.,Annotator-2
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Little known fact Balaam raced donkeys and gambled on races. One day his fastest ass was winning the Jerusalem sweepstakes. And right before the finish the ass lost control running over a Samaritan and two Africans . Local antifa saw the whole thing and blamed the fastest ass!,Anti-facist act in ill faith,Annotator-2
@USER @USER @USER if she were a true Krishn bhakt she wouldn't even care about presence or absence of such laws... she would be above such issues... a typical Chandigarh mentality of one up manship she is caged in... call her anything but Krishn bhakt.. like who cares about what she is doing ...,She is only pretending to be follower of Lord Krishna. Her actions and mentality show the opposite.,Annotator-2
@USER When are the Republicans going to learn that Democrats hate conservatives .Vote  Thursday,Democrats hate conservatives.,Annotator-2
@USER @USER Isn’t that the Amazon bitch from Antifa?,She is an anti-fascist bitch.,Annotator-2
@USER Why of course. Liberals reject truth and accept falsehoods. That's why they don't believe Kanaugh and believe Ellison.,Liberals are hypocrates.,Annotator-2
@USER Thank you Ms Desanctis! I'm comforted that not all conservatives are letting their ambition blind their conscience. Sexual assault/harassment has been a plague on society for centuries - that should NOT make it a conservative or traditionalist cause!,Sexual assault is a plage on the society and cannot be blamed on one entity alone.,Annotator-2
@USER Apparently this POS doesn’t know that Viacom bought out BET. It went from black ownership to white ownership🤣🤣🤣🤣🤣🤣,BET is now owned by whites.,Annotator-2
@USER I bet she`s had more prick`s than a second-hand pincushion! #MAGA 🇬🇧🇺🇸,She is a promiscuous woman.,Annotator-2
@USER @USER @USER @USER Isn't it great how liberals ignore the pain of their victims because they are democrats.  It is really sick.,Liberals are hyocrate and inconsiderate.,Annotator-2
@USER @USER @USER Well then I guess it's totally fine to attack his character then. My mistake. I mean what right does an American who was the victim of gun violence have to call for stricter gun control laws anyway?,You are attacking the vitcim of gun voilence instead of supporting them. ,Annotator-2
@USER @USER Liberals act out of emotion. Not understanding the law. Then they go around condemning every1 who does not agree with their completely fucked rational. “Nobody believed women for 250 years. So let’s believe all women! Oh and screw the legal system! Men are pigs. He’s guilty!” Smh,Liberals are emotional and want to agree with women without evidence.,Annotator-2
@USER He and Obama must be copying each other does any democrat have their own thought PLEASE !!!,Democrats are unoriginal and lack ability to form ideas.,Annotator-2
@USER Lol they have no idea Nazis were socialist. Their complete inability to grasp reality is so mind blowing. Antifa is no shit calling for a civil war to defend slavery. The confederacy considered Lincoln a fascist too... hmmmm.,They are ignorant folks.,Annotator-2
@USER @USER @USER Oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades ...you can have all that shit and let Hollywood decide how you feel.,You have mind of your own and are easy to influence.,Annotator-2
@USER EVERYTHING is an issue with Muslims..go live in another country like Iran..,"Muslims have a problem with everything, they should be made to live in authoritarian regime.",Annotator-2
@USER Holder was held in contempt of congress. Why isn't in prison for Fast and Furious? How about for murder?,Holder should be jailed.,Annotator-2
@USER @USER Then maybe we can talk about the double standards between liberals and conservatives at @USER Somebody is always a victim.,All parties are hypocratical.,Annotator-2
@USER Niggaz buying pussy bitches trying to buy love...,Niggaz and bitches think money can buy everthing.,Annotator-2
@USER @USER I'm also a Prohibited Possessor thanks to Obama and his every soldier has  PTSD crazy administration.Can't get life insurance either.Still support the NRA and the work they do for gun rights.Hoping Trump will fix the wrongs of labeling veterans as a means to back-door gun control,Democrats assume the worse of veterans and gun control.,Annotator-2
"@USER @USER @USER Well, they'll cut out 299 pages and replace it with 1 saying everyone needs more chlorine""  C'mon are you chicken?""",They want to impose strict regulations on everyone.,Annotator-2
@USER Hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive?  Shocking!,They are not good at forecasting.,Annotator-2
@USER Yeah I'll not take my gun control policy advice from a Jean's company. Beyond that trumps die hard are almost enough that the snowflakes they claim to dislike and themselves are hard to tell a part,Corporations should take political stances or they will run out of business soon.,Annotator-2
@USER A quick way to get yourself killed.  Thanks Antifa!,Anti-fascist are voilent.,Annotator-2
@USER Both sides have promised wall SINCE ever y should ANYONE BELIEVE ANYTHING THEY SAY????? ?promised since 1986,Both sides make promises they do not keep.,Annotator-2
@USER @USER As well this would allow you to still protest. But not stop a speaker or a group. Really Hitler did this in the early time of the Nazi party a group known as the SS would beat up politicians and people that didn't agree with them. (Sounds familiar smells like Antifa.),Anti-facist seem to be harbouring nazi practices.,Annotator-2
@USER Damn he fell victim to a little thing called TOS much like the ones on his own site URL URL,He is stupid.,Annotator-2
@USER Coming from a guy who worries more about straws than cleaning up failed 'shitty' policies..now he knows best..lol,He is not a competent policy maker.,Annotator-2
@USER @USER Popular side doesn’t equal winning side. Facts are that private schools do a much better job educating students than public schools. Public school teachers get unfair perks that they don’t deserve. It’s unfair to private school teachers.,Private school teachers have an unfair advantage over public schools.,Annotator-2
"@USER @USER @USER @USER Yes, you are right: not only lefties but (neo) liberals having any trouble. This papers have proper journalistic ethics"" - it's funny 😆😆😆; and  Magyar Nemzet or Népszabadság had ""highest circulation"" - it's also funny /only in the communistic past (before 1989)/ 😆😆😆! URL",Leftist and liberal are likely to believe in any information. ,Annotator-2
@USER Great Gun Control! Takes Concentration and Steady Hand! Way to Go Girl! URL,Firing a gun takes concentration.,Annotator-2
@USER Disgusting!  That tells you more than anything that we need law n order and that's conservatives n Kavanaugh!,Only conservatives are capable of restoring law and order in USA.,Annotator-2
@USER @USER @USER Chicago has been ran by Democrats for decades.  Why is it up to the GOP to solve the problems they created to begin with?  Act is absolutely code for gun control and that's not happening nor would it help anyway.  You need 1000 detectives.  Start hiring.,You do not need 1000 detectives to solve that democracts did not solve the gun control problem in Chicago.,Annotator-2
"@USER If only he were the craziest MF out there. Sadly, he is NOT. There are far worse examples of good Christians.""""","Like him some ""good"" Christians can be crazy.",Annotator-2
@USER For what??? Lies and rumors being spread by liberals with their known pattern? Hell NO.,Liberals are spreading lies as always.,Annotator-2
@USER @USER @USER Not if it's unwanted by the mother. Then the left flushes it down the toilet and goes to an ANTIFA rally to celebrate.,Unwanted fetuses are flushed in toilet by leftist women with no morals.,Annotator-2
@USER @USER @USER Complete and utter waste of time. Liberals,Liberals are not worth engaging with.,Annotator-2
@USER Blame Trump for the weather and the corruption that existed for decades in PR. What an ass typical democratic,Democrats create problem then play the blame game.,Annotator-2
@USER ...her background is being kept under wraps...chance she is a rabid MAGA...as most cops are! Law enforcement entities are attempting to keep quite those who are in trouble and who are MAGA's...,"MAGA has received negative reputation, and people are not willing to disclose their association with it.",Annotator-2
@USER i had a man tell me their body count was 40+ but refused to be with a woman who had more than 5. what the FUCK.,Men are hypocrites when it comes to sexual experiences.,Annotator-2
"@USER @USER @USER Liberals today R VERY different from Classical Liberals. Liberals today have gone so far left they R Marxists. You're burying your head in the sand if you think neo &amp; classical Libs are the same. Trump is so authoritarian"" people can say what they want about him &amp; not be killed.""",Liberals today get away with saying pretty much everything.,Annotator-2
"@USER @USER Ain't nobody bitter here. Women who know their worth spending their life upgrading"" somebody son but actually LIVING it and becoming their best versions for THEMSELVES. You go look cute on your maid outfit, like you always do""",Women are forced to spend their lives improving others acting as the maid of the house.,Annotator-2
More than likely she forgot because her mental capacity is dropping each and everyday. This woman is not fit to serve any longer just like she said Trump was not. Remember she is part of the problems and not a solution at all. MAGA URL,She is mentally unfit to run for office and is not capable of solving our problems. ,Annotator-2
@USER @USER @USER @USER @USER @USER @USER 😂😂😂😂😂😂 yeah. Peaceful because the right ..Well..know they're right. No counter protests. Unlike fascist Antifa. As for 7k .. who counted? Dianne Abbott???,Dainne Abbott is known to make up numbers.,Annotator-2
. @USER tells us she is an unserious attention seeker  URL  #iphone @USER @USER @USER,Her actions are superficial and attention-seeking.,Annotator-2
@USER Let her come to DC and testify by being safely surrounded by the DNC’s street army #Antifa and even let them wear those cute black masks. That way Americans can see the diversity of the Democrat party and how they protect their own. Good?,She is putting out assult claims without any evidence and testimony. It shows the true color of Democrats.,Annotator-2
@USER Made my wife take the Egghead Bible Challenge. Our two kids are obviously more obnoxious than that loop because this shit isnt phasing her at all.,"She is tough women, deadling with impossible kids.",Annotator-2
@USER I can’t believe you replaced the American flag with the Antifa flag!!,You do not love your country.,Annotator-2
@USER I do not believe Erick Erickson exists. I do believe he is a Democrat PR firm creating a “Republican” persona to have it say idiotic things to discredit conservatives.,Democrats are using false narrative to discredit conservatives.,Annotator-2
@USER @USER @USER I teach my grown sons theres winners and losers...see Serena temper tantrums she is a Democrat...lol,Democrats lose and throw tantrums.,Annotator-2
@USER Shooting in USA is so common no one is talking about gun control any more.,Mass shooting in USA has gone out of hands.,Annotator-2
"&gt;500 comments, and all negative, slamming Chris Hayes for promoting vote suppression via Michael I love rapist &amp; Putin-puppet Assange"" Moore &amp; his latest ""kill the Dems"" movie. How about a town hall on women's repro rights &amp; gun control on eve of Kavanaugh vote instead? URL",republicans support rapist and want to kill democrates,Annotator-2
@USER liberals got to crap all over everything.,Liberals are not good at anything.,Annotator-2
@USER @USER @USER @USER @USER The Liberals same old playbook. It is so old... yawn,Liberals have stale policies.,Annotator-2
@USER @USER He needs to be removed from his position. Children have and are being abused and he is covering it up!!,He is covering up child molestations and supporting pedophiles.,Annotator-2
@USER If he is implying that he is an agent of the Devil's will then I fully agree!,I think he is a devil.,Annotator-2
@USER I think I liked it better when Conservatives pretended that rape is bad. Now they are claiming Rape gets Better with Time?,Conservatives are claiming rape victims have it better overtime.,Annotator-2
"@USER @USER We need a marijuana lobby that can bribe the GOP like big pharma does. Otherwise, you're screwed. Just because it's good for America, that means nothing... see gun control""""",GOP is corrupt.,Annotator-2
@USER @USER My favourite part of this is watching all the conservatives lose their minds as usual. Once again the Democrats are being mean to us boo-hoo. LOL.,Conservatives are foolhardy.,Annotator-2
@USER No one is open! You think he is sitting there waiting to get hit lol. The pick that was called back Kyle said the one of the receiver ran the wrong route again! A route that was need to pick Matt open! 🤦🏽‍♂️ 49ers need to get their head out of their asses,@USER No one is open! You think he is sitting there waiting to get hit lol. The pick that was called back Kyle said the one of the receiver ran the wrong route again! A route that was need to pick Matt open! 🤦🏽‍♂️ 49ers need to get their head out of their asses,Annotator-2
@USER @USER So we should be denouncing Democrats &amp; their ANTIFA Thugs? Done &amp; Done!!!,Democrats and anti-fascist should be shunned.,Annotator-2
@USER @USER Just Chicago so they can stop the gun violence. Seems that is what democrats claim will stop it. Show us in one of the worst gun violence cities controlled by democrats so the nations will see how that works. Make it a model of successful gun control policies.,Democrat policies on gun control have been useless.,Annotator-2
@USER And how is the investigation  against your son the antifa  Terrorist going,Anti-facsist promote terrorist like behaviour.,Annotator-2
@USER @USER You really have to let it go. He's going to get confirmed.  You can continue to kill babies  and gun violence will continue despite gun control.,Controling gun is not going to resolve voilence.,Annotator-2
"@USER So funny, this was labeled as sensitive media""!!   Yet, people post porn on Twitter all the time. Unfiltered""",Twitter content policy allows porn.,Annotator-2
"@USER Gun control measures?  As in Fast and Furious"", where you directed FFL dealers to violate the law and allow straw purchases?  Where you knowingly allowed firearms to be sold to criminal organizations?""",gun control will lead to black market trade of guns and riffles.,Annotator-2
@USER I remember how much we were making fun of conservatives in the 90s for thinking that puppets were gay... Now people are upset because they're not gay... PBS needs to put on a documentary teaching people how puppets are made...,People want to turn everything into homophobia.,Annotator-2
@USER She don’t never have on pants and she is forever throwing up the people’s eyebrow with her pinched nose ass.... URL,She is a misfit.,Annotator-2
@USER Do you think she is afraid of pigs that are not the same colour as her? 😊,She is a racist and a pig.,Annotator-2
@USER @USER He was a drunk driver that wrecked and injured a person then fled the scene of the crime! Hit and run.. should fit right in with leftists socialists antifa democrats!,Non-conservative supporters are always running away from the issues they created.,Annotator-2
@USER @USER @USER disgusting. These people will take over this country one day and then all the lefties and liberals will be very upset when they are forced to wear a burka. Imagine @USER 😂. The worst mistake EVER was letting these people in so freely. They do not appreciate it.,Muslims always want to enforce conservative ideology.,Annotator-2
@USER Dishonored zone where you have to balance on dangerously high edges in a shitty ghetto overrun with rats and bloodflies,You will be dishonored to live in a ghetto with severe conditions.,Annotator-2
@USER A special kind of #Antifa when he learns the correct spelling of tomorrow ! ffs proper shitting myself now 😱,Antifas are illiterate.,Annotator-2
@USER @USER @USER If he is from AZ I would put my money on sex with underage kids.,He is a pedophilia.,Annotator-2
"@USER Shit like this is why I don't follow @USER  Who me? I'm just stating basic facts.  Totally NOT diverting from the actual point. Just stating a fact.""  You're a phony""",You are a phony and that is a fact.,Annotator-2
@USER is the brainchild of @USER - He is playing dirty against @USER and Jen is using her ill gotten money against @USER Mailer linking Nixon to anti-Semitism was approved by top Cuomo aides URL,They are all playing dirty and corrupt.,Annotator-2
@USER How dare you tell me what Antifa is doing is right. They are not fighting facism they are fighting for their own stupid cause. They are further from fixing facism than the republicans themselves,Anti-fascist are stupid and good for nothing.,Annotator-2
"23:70 Or do they say, He is possessed""? Nay, he has brought them the Truth, but most of them hate the Truth.""",Most people hate knowing the truth.,Annotator-2
"4./presumably you think liberals,"" are as trivial as women and their complaining. You wonder why Dr. Ford does not want to surrender herself to such a harrowing experience before you all? @USER @USER @USER @USER @USER @USER @USER",Liberals make trivialize all issues.,Annotator-2
"@USER The comments below, defending Drug Ford's blatant abuse of power is completely laughable.  But, but the Liberals.  Bias, BIAS I tell you!!!  Must be only the NDP rich downtown area that was polled"".  Ho-man... thanks guys... I needed a good laugh! 😂😂😂""",It is laughable how biased liberals are.,Annotator-2
@USER @USER @USER He is a big lump of —-I agree 100%,He is not a good person,Annotator-2
@USER As usual a seemingly and supposed smart feminist thinks she has made sense.. Yen yen yen yen yen yen alone... You just told me rn you are also dealing with another person.. Have you considered maybe you are the toxic one?,You are toxic and a stupid person pretending to be feminist.,Annotator-2
@USER @USER @USER @USER Theresa May isn’t nice,Theresa May isn't nice.,Annotator-2
@USER @USER The US Open has treated her poorly with the whole controversy over her outfit.  Bottom line is she was treated differently because she is a women of color and this would never happen to a man.  The USTA better soon recognize that she IS women’s tennis and act accordingly!!,USTA's dress code couls be biased against women of color.,Annotator-2
@USER @USER WHOS  SICK  OF  INTITLED   RACISTS?,You are a racist.,Annotator-2
@USER @USER @USER @USER He did not born so he is not pakistani?Get a life man.If ur wife deleiver boy in london nd back to pk so the baby is not pakistani?You nd  ur wife r not pakistani?Just some papers of registration in london make ur boy non Pakistani 😂😉.Honey see the forefathers history.,He thinks being considered English is better than his Pakistani heritage.,Annotator-2
Adulting is knowing who fucked cut off in your future plans.....,Adulting is knowing who is not your friend.,Annotator-2
@USER @USER @USER She is the “comedian” that lectures the audience for an hour how white men are the scum of the earth.,Women comedians who trash talk white men are trashy themselves.,Annotator-2
"Rahm Emanuel’s failure is an ill omen for all Democrats""  URL #TCOT #MAGA #RedNationRising""",Democrats are doomed.,Annotator-2
@USER @USER @USER And people still think this administration is the greatest since sliced bread. Ridiculous.,The current administration is not as good as it is projected too be.,Annotator-2
@USER Gillibrand must have been a very sexually active woman to be pushing young women to have abortions.,Only promiscuous women want to have abortions.,Annotator-2
@USER 🤷🏼‍♀️ that would be silly.,Do not be stupid.,Annotator-2
@USER @USER @USER maybe he is for brutally beating a woman. apparently spending a couple hundred dollars makes up for beatin the piss out of someone,He got bail after harasseing women.,Annotator-2
@USER @USER And you support the right using Antifa tactics in other words the tactics of a domestic terrorist group.,Anti-facists as good as a terrorist organization.,Annotator-2
@USER This guy wants to be a successful producer and he is tweeting stuff like this.,His behaviour will not make him successful.,Annotator-2
@USER As much as I dislike Antifa. I hope none of them are stupid enough to fall for this bait and end up getting themselves or someone else injured or killed,Anti-fascist are stupid to injury themselves or others.,Annotator-2
@USER I thought this was SNL. The last guy is wearing a fucking beanie with the mindmill on itS,This all seems to be a skit comedy.,Annotator-2
@USER Has this guy got acorns in his cheeks or what. Lack of walking around sense is astonishing with liberals.,Liberals are dim-witted.,Annotator-2
@USER @USER is so biased against conservatives‼️everyone should drop google and use Bing or DuckDuckGo.,They are biased against conservatives.,Annotator-2
"#stcshooting To the kneejerk people crying for gun control"" after this shooting. We already HAVE very restrictive gun control. You just want a ban. It's a pity no one has politely explained to these criminals that they are supposed to obey the law.""",Criminals never obey laws.,Annotator-2
@USER Animal is the operative word !,They operate like animals.,Annotator-2
@USER Can’t she appeal. ? This is all kinds of wrong . If I were ES@USER would beat the sh** out of her.,"If she is not wrong, she should appeal than being trolled.",Annotator-2
@USER @USER Levi’s just came out in support of student gun control activists.  Now the Trumpers will be burning their jeans as well as their sneakers!,Trump supporters will disown anything that does not fit their ideology.,Annotator-2
@USER @USER Haha true.  Back to your original point... if we all just fucking drive everything would be fine!,You do not have any real argument.,Annotator-2
@USER whats wrong with dead #antifa?  I don't understand I thought the only good antifa was....,"Anti-fascist are no good, they should be dead.",Annotator-2
@USER If you are not sure then l will block all these useless tweets. OK ?,Your tweets are useless.,Annotator-2
@USER @USER @USER John careful... liberals will attack you for thinking critically because the facts aren't on their side,Liberals overlook facts to support their narrative.,Annotator-2
"@USER @USER @USER This is fun, I asked him for proof and he blocked me. I was about to joke about how he'd go from The Antifa are the real Nazis!"" to similar alt-shite talking points, boy that sure was providing proof quickly.""",Anti-facist could be narrow minded like the Nazis.,Annotator-2
@USER Wow it took 36 years? Bet this would of never came up if he had not been choose for supreme Court. Shows the liberals for what they really are. In a way that's a good thing😁,Liberals sit on a lie until they want to use it.,Annotator-2
@USER Spoiler Alert : This episode has a hidden agenda to promote gun control,Gun control is always a hidden agenda.,Annotator-2
@USER @USER @USER cashing in on the book bandwagon. can't blame her. #liberals love to throw their money at bullshit,Liberals like to waste money.,Annotator-2
@USER The liberals will use whatever label they can to discredit people who disagree and/or are a threat to their agenda.,Liberals are not open minded and vindictive towards anyone who differes from them.,Annotator-2
@USER Bengals v. Some sorry team looking for a butt whoopin’,Bengals are in good shape for the match.,Annotator-2
@USER @USER I'll add one more: Did you realize that conservatives would decide that certain men should get a PASS for sexual assault?,Conservatives would let sexual assaulters get away.,Annotator-2
@USER You are still on that Trump  train to nowhere!👎,You are not winning this argument against Trump.,Annotator-2
@USER @USER @USER So many issues facing Australian voters but the single obsession of Australian Conservatives is bullying transgender children... URL,Issues of general public are more important that issues of transgender.,Annotator-2
@USER @USER @USER @USER @USER Trump publicly lusted for his daughter and GOP still elected him.  Let's stop pretending that morality or decency means jack shit to conservatives.,Conservatives are hypocrites.,Annotator-2
@USER @USER Don’t usually do Twitter”conversations”but my point was Dana may be kind of woman who doesn’t want to help other woman;wants to be THE prima donna &amp; so doesn’t care about developing next-gen girls.She is against gun control &amp; isn’t bothered by school shootings-must not like kids,Dana is an unsupportive and uncaring person.,Annotator-2
@USER Wtf aren’t they treating antifa as terrorism?,Anit-facism should be condoned and banned.,Annotator-2
@USER After the GOP wins the mid-terms easily there will be no reason we dont put on the masks and grab weapons to go all #ANTIFA on people like you clowns have been doing. Going to be so much fun!!!!,GOP supporters should put on arms and go violent for fun.,Annotator-2
